id	lane_id	exit_code	expected_failure	observed_failure	backend_cutover_gate_event_v1	backend_cutover_rollback_event_v1	backend_cutover_x08_review_packet_v1	summary_status	validation_assertion_pass	notes
BPL09-V01	BPL09-L01	0	none	none	yes	no	no	pass	true	assertions met
BPL09-V02	BPL09-L01	0	none	none	yes	no	no	pass	true	assertions met
BPL09-V03	BPL09-L01	0	none	none	yes	no	no	pass	true	assertions met
BPL09-V04	BPL09-L02	0	none	none	yes	no	no	pass	true	assertions met
BPL09-V05	BPL09-L02	0	none	none	yes	no	no	pass	true	assertions met
BPL09-V06	BPL09-L02	0	none	none	yes	no	no	pass	true	assertions met
BPL09-V07	BPL09-L04	2	BPL09-R01	BPL09-R01	no	yes	no	fail	true	assertions met
BPL09-V08	BPL09-L04	2	BPL09-R02	BPL09-R02	no	yes	no	fail	true	assertions met
BPL09-V09	BPL09-L05	2	BPL09-R03	BPL09-R03	no	yes	no	fail	true	assertions met
BPL09-V10	BPL09-L05	2	BPL09-R04	BPL09-R04	no	yes	no	fail	true	assertions met
BPL09-V11	BPL09-L06	2	BPL09-R05	BPL09-R05	no	yes	no	fail	true	assertions met
BPL09-V12	BPL09-L06	2	BPL09-R06	BPL09-R06	no	yes	no	fail	true	assertions met
BPL09-V13	BPL09-L07	0	none	none	no	no	yes	pass	true	assertions met
BPL09-V14	BPL09-L03/BPL09-L07	0	none	none	yes	no	yes	pass	true	assertions met
