id	lane_id	exit_code	first_rpl03_code	ipc_protocol_ready_v1	ipc_channel_event_v1	ipc_channel_summary_v1	ipc_conformance_summary_v1
IPCV-01	IPCL-01	0	none	1	8	4	1
IPCV-02	IPCL-01	0	none	1	8	4	1
IPCV-03	IPCL-01	0	none	1	8	4	1
IPCV-04	IPCL-03	0	none	1	12	6	1
IPCV-05	IPCL-01	1	RPL03-E001	1	8	4	1
IPCV-06	IPCL-01	1	RPL03-E002	1	8	4	1
IPCV-07	IPCL-01	1	RPL03-E003	1	8	4	1
IPCV-08	IPCL-01	1	RPL03-E004	1	8	4	1
IPCV-09	IPCL-04	1	RPL03-E005	1	12	6	1
IPCV-10	IPCL-01	1	RPL03-E006	1	8	4	1
IPCV-11	IPCL-04	1	RPL03-E008	1	12	6	1
IPCV-12	IPCL-03	1	RPL03-E010	1	8	4	1
