id	lane_id	compatibility_id	exit_code	first_rpl03_code	runtime_ui_bridge_route_event_v1	runtime_ui_bridge_backpressure_event_v1	runtime_ui_bridge_lane_summary_v1	runtime_ui_bridge_rollback_record_v1	runtime_ui_bridge_migration_summary_v1	runtime_ui_bridge_step2_summary_v1	summary_status	validation_assertion_pass	compatibility_pending_count	compatibility_reject_count
R4V-01	R4L-01	R4I-01	0	none	1	1	1	0	1	1	pass	true	0	0
R4V-02	R4L-01	R4I-02	0	none	1	1	1	0	1	1	pass	true	0	0
R4V-03	R4L-01	R4I-03	0	none	1	1	1	0	1	1	pass	true	0	0
R4V-04	R4L-02	R4I-04	0	none	3	3	3	0	3	3	pass	true	0	0
R4V-05	R4L-03	R4I-05	0	none	1	1	1	0	1	1	pass	true	0	0
R4V-06	R4L-04	R4I-06	0	none	3	3	3	0	3	3	pass	true	0	0
R4V-07	R4L-05	R4I-05	1	RPL03-E008	1	1	1	0	1	1	fail	true	0	0
R4V-08	R4L-05	R4I-06	1	RPL03-E010	1	1	1	0	1	1	fail	true	0	0
R4V-09	R4L-05	R4I-02	1	RPL03-E002	1	1	1	0	1	1	fail	true	0	0
R4V-10	R4L-05	R4I-03	1	RPL03-E003	1	1	1	0	1	1	fail	true	0	0
R4V-11	R4L-05	R4I-04	1	RPL03-E007	1	1	1	0	1	1	fail	true	0	0
R4V-12	R4L-06	R4I-05	1	RPL03-E008	1	1	1	1	1	1	fail	true	0	0
R4V-13	R4L-04	R4I-05	0	none	3	3	3	0	3	3	pass	true	0	0
R4V-14	R4L-04	R4I-06	0	none	3	3	3	0	3	3	pass	true	0	0
