id	lane_id	expected_exit	exit_code	command
R7V-01	R7L-01	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-01 CCL_MODULE_ENV_TEST_CASE=baseline-resolution node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-02	R7L-02	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-02 CCL_MODULE_ENV_TEST_CASE=activation-cache node doc/wasm/js/all-smoke.mjs --no-ui
R7V-03	R7L-03	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-03 CCL_MODULE_ENV_TEST_CASE=profile-guard CCL_IPC_LANE_ID=headless_runtime node doc/wasm/js/start-lisp-noninteractive-smoke.mjs --strict-start-lisp-noninteractive
R7V-04	R7L-04	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-04 CCL_MODULE_ENV_TEST_CASE=browser-loader npm --prefix web-ui run test:sandbox
R7V-05	R7L-06	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-06 CCL_MODULE_ENV_TEST_CASE=fallback-block CCL_MODULE_ENV_TEST_FORCE_FALLBACK=1 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-06	R7L-02	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-02 CCL_MODULE_ENV_TEST_CASE=activation-cache node doc/wasm/js/all-smoke.mjs --no-ui
R7V-07	R7L-05	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-05 CCL_MODULE_ENV_TEST_CASE=binding-fail CCL_MODULE_ENV_TEST_INJECT_FAILURE=RPL07-E001 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-08	R7L-05	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-05 CCL_MODULE_ENV_TEST_CASE=integrity-fail CCL_MODULE_ENV_TEST_INJECT_FAILURE=RPL07-E002 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-09	R7L-05	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-05 CCL_MODULE_ENV_TEST_CASE=cache-fail CCL_MODULE_ENV_TEST_INJECT_FAILURE=RPL07-E003 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-10	R7L-05	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-05 CCL_MODULE_ENV_TEST_CASE=lifecycle-fail CCL_MODULE_ENV_TEST_INJECT_FAILURE=RPL07-E005 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-11	R7L-05	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-05 CCL_MODULE_ENV_TEST_CASE=tuple-fail CCL_MODULE_ENV_TEST_INJECT_FAILURE=RPL07-E006 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-12	R7L-05	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-05 CCL_MODULE_ENV_TEST_CASE=classification-fail CCL_MODULE_ENV_TEST_INJECT_FAILURE=RPL07-E007 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R7V-13	R7L-07	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-07 CCL_MODULE_ENV_TEST_CASE=x06-review CCL_MODULE_ENV_TEST_BUNDLE_IDS=rpl05-20260210-011240Z-91fdb0be,bpl06-20260210-005408Z-91fdb0be,bpl07-20260210-005408Z-91fdb0be node doc/wasm/js/all-smoke.mjs --no-ui
R7V-14	R7L-08	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_ALLOW_FALLBACK=0 CCL_MODULE_ENV_TEST_LANE=R7L-08 CCL_MODULE_ENV_TEST_CASE=x07-carry-forward CCL_MODULE_ENV_TEST_BUNDLE_IDS=rpl05-20260210-011240Z-91fdb0be,bpl06-20260210-005408Z-91fdb0be,bpl07-20260210-005408Z-91fdb0be node doc/wasm/js/all-smoke.mjs --no-ui
