id	lane_id	expected_exit	exit_code	command
R4V-01	R4L-01	0	0	CCL_IPC_LANE_ID=R4L-01 CCL_IPC_CONFORMANCE_ID=R4V-01 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-01 CCL_UI_BRIDGE_TEST_WAVE=R4M-21 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-02	R4L-01	0	0	CCL_IPC_LANE_ID=R4L-01 CCL_IPC_CONFORMANCE_ID=R4V-02 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-02 CCL_UI_BRIDGE_TEST_WAVE=R4M-22 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-03	R4L-01	0	0	CCL_IPC_LANE_ID=R4L-01 CCL_IPC_CONFORMANCE_ID=R4V-03 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-03 CCL_UI_BRIDGE_TEST_WAVE=R4M-23 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-04	R4L-02	0	0	CCL_IPC_LANE_ID=R4L-02 CCL_IPC_CONFORMANCE_ID=R4V-04 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-04 CCL_UI_BRIDGE_TEST_WAVE=R4M-24 node doc/wasm/js/start-lisp-noninteractive-smoke.mjs --strict-start-lisp-noninteractive
R4V-05	R4L-03	0	0	set +e; CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-05 CCL_UI_BRIDGE_TEST_WAVE=R4M-25 npm --prefix web-ui run test:sandbox; cmd_rc=$?; CCL_IPC_LANE_ID=R4L-03 CCL_IPC_CONFORMANCE_ID=R4V-05 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-05 CCL_UI_BRIDGE_TEST_WAVE=R4M-25 node --input-type=module -e 'import { emitSyntheticIpcArtifacts } from "./doc/wasm/js/ipc-conformance.mjs"; emitSyntheticIpcArtifacts({ defaultLaneClass: "ui_runtime", laneId: "R4L-03", conformanceId: "R4V-05", source: "web-ui/test:sandbox" });'; emit_rc=$?; if [ $cmd_rc -ne 0 ]; then exit $cmd_rc; fi; exit $emit_rc
R4V-06	R4L-04	0	0	CCL_IPC_LANE_ID=R4L-04 CCL_IPC_CONFORMANCE_ID=R4V-06 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-06 CCL_UI_BRIDGE_TEST_WAVE=R4M-26 node doc/wasm/js/all-smoke.mjs
R4V-07	R4L-05	1	1	CCL_IPC_LANE_ID=R4L-05 CCL_IPC_CONFORMANCE_ID=R4V-07 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-07 CCL_UI_BRIDGE_TEST_INJECT_FAILURE=RPL03-E008 CCL_UI_BRIDGE_TEST_CLASS_ID=R4M-03 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-08	R4L-05	1	1	CCL_IPC_LANE_ID=R4L-05 CCL_IPC_CONFORMANCE_ID=R4V-08 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-08 CCL_UI_BRIDGE_TEST_INJECT_FAILURE=RPL03-E010 CCL_UI_BRIDGE_TEST_CLASS_ID=R4M-01 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-09	R4L-05	1	1	CCL_IPC_LANE_ID=R4L-05 CCL_IPC_CONFORMANCE_ID=R4V-09 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-09 CCL_UI_BRIDGE_TEST_INJECT_FAILURE=RPL03-E002 CCL_UI_BRIDGE_TEST_CLASS_ID=R4M-05 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-10	R4L-05	1	1	CCL_IPC_LANE_ID=R4L-05 CCL_IPC_CONFORMANCE_ID=R4V-10 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-10 CCL_UI_BRIDGE_TEST_INJECT_FAILURE=RPL03-E003 CCL_UI_BRIDGE_TEST_CLASS_ID=R4M-06 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-11	R4L-05	1	1	CCL_IPC_LANE_ID=R4L-05 CCL_IPC_CONFORMANCE_ID=R4V-11 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-11 CCL_UI_BRIDGE_TEST_INJECT_FAILURE=RPL03-E007 CCL_UI_BRIDGE_TEST_CLASS_ID=R4M-10 node doc/wasm/js/start-lisp-noninteractive-smoke.mjs --strict-start-lisp-noninteractive
R4V-12	R4L-06	1	1	CCL_IPC_LANE_ID=R4L-06 CCL_IPC_CONFORMANCE_ID=R4V-12 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-12 CCL_UI_BRIDGE_TEST_FORCE_FALLBACK=1 node doc/wasm/js/wasm-ui-persist-smoke.mjs --image root --verbose
R4V-13	R4L-04	0	0	CCL_IPC_LANE_ID=R4L-04 CCL_IPC_CONFORMANCE_ID=R4V-13 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-13 CCL_UI_BRIDGE_TEST_WAVE=R4M-26 node doc/wasm/js/all-smoke.mjs
R4V-14	R4L-04	0	0	CCL_IPC_LANE_ID=R4L-04 CCL_IPC_CONFORMANCE_ID=R4V-14 CCL_UI_BRIDGE_TEST_VALIDATION_ID=R4V-14 CCL_UI_BRIDGE_TEST_WAVE=R4M-26 node doc/wasm/js/all-smoke.mjs
