id	lane_id	expected_exit	exit_code	command
R6V-01	R6L-01	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-01 CCL_STORAGE_V2_SYNC_CASE=baseline CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-01 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-02	R6L-01	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-01 CCL_STORAGE_V2_SYNC_CASE=baseline CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-02 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-03	R6L-02	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-02 CCL_STORAGE_V2_SYNC_CASE=cas-lease CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-03 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-04	R6L-02	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-02 CCL_STORAGE_V2_SYNC_CASE=cas-lease CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-04 CCL_STORAGE_V2_SYNC_INJECT_FAILURE=RPL06-E004 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-05	R6L-03	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-03 CCL_STORAGE_V2_SYNC_CASE=conflict-detect CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-05 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-06	R6L-04	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-04 CCL_STORAGE_V2_SYNC_CASE=merge-candidate CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-06 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-07	R6L-05	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-05 CCL_STORAGE_V2_SYNC_CASE=merge-finalize CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-07 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-08	R6L-06	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-06 CCL_STORAGE_V2_SYNC_CASE=schema-fail CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-08 CCL_STORAGE_V2_SYNC_INJECT_FAILURE=RPL06-E001 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-09	R6L-06	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-06 CCL_STORAGE_V2_SYNC_CASE=cas-fail CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-09 CCL_STORAGE_V2_SYNC_INJECT_FAILURE=RPL06-E003 node doc/wasm/js/storage-v2-sync-conformance.mjs
R6V-10	R6L-06	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_STORAGE_PROFILE=storage-v2-opfs CCL_STORAGE_ALLOW_FALLBACK=0 CCL_STORAGE_V2_SYNC_LANE=R6L-06 CCL_STORAGE_V2_SYNC_CASE=merge-fail CCL_STORAGE_V2_SYNC_RUN_ID=rpl06-20260210-054023Z-50d752af-r6v-10 CCL_STORAGE_V2_SYNC_INJECT_FAILURE=RPL06-E006 node doc/wasm/js/storage-v2-sync-conformance.mjs
