id	lane_id	exit_code	expected_failure	observed_failure	module_env_resolution_event_v1	module_env_profile_guard_report_v1	module_env_cache_state_event_v1	module_env_activation_summary_v1	module_env_x06_review_packet_v1	module_env_x07_review_packet_v1	summary_status	validation_assertion_pass	notes
R7V-01	R7L-01	0	none	none	yes	yes	no	yes	no	no	pass	true	assertions met
R7V-02	R7L-02	0	none	none	yes	no	yes	yes	no	no	pass	true	assertions met
R7V-03	R7L-03	0	none	none	yes	yes	no	yes	no	no	pass	true	assertions met
R7V-04	R7L-04	0	none	none	yes	no	no	yes	no	no	pass	true	assertions met
R7V-05	R7L-06	0	RPL07-E004	RPL07-E004	yes	yes	no	yes	no	no	fail	true	assertions met
R7V-06	R7L-02	0	none	none	yes	no	yes	yes	no	no	pass	true	assertions met
R7V-07	R7L-05	0	RPL07-E001	RPL07-E001	yes	no	no	yes	no	no	fail	true	assertions met
R7V-08	R7L-05	0	RPL07-E002	RPL07-E002	yes	no	no	yes	no	no	fail	true	assertions met
R7V-09	R7L-05	0	RPL07-E003	RPL07-E003	yes	no	yes	yes	no	no	fail	true	assertions met
R7V-10	R7L-05	0	RPL07-E005	RPL07-E005	yes	no	no	yes	no	no	fail	true	assertions met
R7V-11	R7L-05	0	RPL07-E006	RPL07-E006	yes	no	no	yes	no	no	fail	true	assertions met
R7V-12	R7L-05	0	RPL07-E007	RPL07-E007	yes	no	no	yes	no	no	fail	true	assertions met
R7V-13	R7L-07	0	none	none	yes	no	no	yes	yes	no	pass	true	assertions met
R7V-14	R7L-08	0	none	none	yes	no	no	yes	no	yes	pass	true	assertions met
