id	lane_id	expected_exit	exit_code	command
R8V-01	R8L-01	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-01 CCL_ARTIFACT_BUDGET_TEST_CASE=baseline-measurement node -e 'const fs=require("node:fs"); const rows=[["R8B-01","doc/wasm/wasm-runtime-modules.bin"],["R8B-02","doc/wasm/wasm-runtime-modules.json"],["R8B-03","doc/wasm/js/wasmcl.wasm"],["R8B-04","doc/wasm/js/subprims.wasm"]]; for (const r of rows) console.log(r[0]+"\t"+fs.statSync(r[1]).size);'
R8V-02	R8L-02	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-02 CCL_ARTIFACT_BUDGET_TEST_CASE=aggregate-delta node -e 'const fs=require("node:fs"); const vals=[fs.statSync("doc/wasm/wasm-runtime-modules.bin").size,fs.statSync("doc/wasm/wasm-runtime-modules.json").size,fs.statSync("doc/wasm/js/wasmcl.wasm").size,fs.statSync("doc/wasm/js/subprims.wasm").size]; const s=vals.reduce((a,b)=>a+b,0); console.log("R8B-05\t"+s);'
R8V-03	R8L-03	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-03 CCL_ARTIFACT_BUDGET_TEST_CASE=metadata-digest node -e 'const c=require("node:crypto"); const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/wasm-runtime-modules.json","utf8")); if(!(j.moduleCount===7620 && j.constPoolCount===5438)) process.exit(1); const p=["doc/wasm/wasm-runtime-modules.bin","doc/wasm/wasm-runtime-modules.json","doc/wasm/js/wasmcl.wasm","doc/wasm/js/subprims.wasm"]; const h=c.createHash("sha256"); for (const f of p.sort()) h.update(fs.readFileSync(f)); console.log(h.digest("hex"));'
R8V-04	R8L-04	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-04 CCL_ARTIFACT_BUDGET_TEST_CASE=startup-guard node doc/wasm/js/start-lisp-noninteractive-smoke.mjs --strict-start-lisp-noninteractive
R8V-05	R8L-03	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-03 CCL_ARTIFACT_BUDGET_TEST_CASE=metadata-digest-rerun node -e 'const c=require("node:crypto"); const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/wasm-runtime-modules.json","utf8")); if(!(j.moduleCount===7620 && j.constPoolCount===5438)) process.exit(1); const p=["doc/wasm/wasm-runtime-modules.bin","doc/wasm/wasm-runtime-modules.json","doc/wasm/js/wasmcl.wasm","doc/wasm/js/subprims.wasm"]; const h=c.createHash("sha256"); for (const f of p.sort()) h.update(fs.readFileSync(f)); console.log(h.digest("hex"));'
R8V-06	R8L-07	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-07 CCL_ARTIFACT_BUDGET_TEST_CASE=x07-review CCL_ARTIFACT_BUDGET_TEST_BUNDLE_IDS=rpl05-20260210-011240Z-91fdb0be,bpl06-20260210-005408Z-91fdb0be,bpl07-20260210-005408Z-91fdb0be node -e 'const fs=require("node:fs"); const p="doc/wasm/tickets/evidence/rpl-07-step3-2026-02-10/rpl07-20260210-014654Z-91fdb0be/module_env_x07_review_packet_v1.json"; const j=JSON.parse(fs.readFileSync(p,"utf8")); if(j.x07_review_result!=="carry_forward") process.exit(1); console.log("carry_forward");'
R8V-07	R8L-05	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-05 CCL_ARTIFACT_BUDGET_TEST_CASE=missing-artifact CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE=RPL08-E001 node -e 'const code=process.env.CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE||""; if(!code) process.exit(1); console.error(code); process.exit(2);'
R8V-08	R8L-06	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=legacy_snapshot CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-06 CCL_ARTIFACT_BUDGET_TEST_CASE=fallback-source CCL_ARTIFACT_BUDGET_TEST_FORCE_FALLBACK=1 node -e 'if(process.env.CCL_RUNTIME_BUDGET_SOURCE!=="canonical_artifact") { console.error("RPL08-E002"); process.exit(2); }'
R8V-09	R8L-05	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-05 CCL_ARTIFACT_BUDGET_TEST_CASE=aggregate-mismatch CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE=RPL08-E003 node -e 'const code=process.env.CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE||""; if(!code) process.exit(1); console.error(code); process.exit(2);'
R8V-10	R8L-05	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-05 CCL_ARTIFACT_BUDGET_TEST_CASE=metadata-drift CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE=RPL08-E004 node -e 'const code=process.env.CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE||""; if(!code) process.exit(1); console.error(code); process.exit(2);'
R8V-11	R8L-05	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_BUDGET_SOURCE=canonical_artifact CCL_STORAGE_ALLOW_FALLBACK=0 CCL_ARTIFACT_BUDGET_TEST_LANE=R8L-05 CCL_ARTIFACT_BUDGET_TEST_CASE=startup-fail CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE=RPL08-E008 node -e 'const code=process.env.CCL_ARTIFACT_BUDGET_TEST_INJECT_FAILURE||""; if(!code) process.exit(1); console.error(code); process.exit(2);'
