id	lane_id	expected_exit	exit_code	command
R9V-01	R9L-01	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-01 CCL_RPL09_TEST_CASE=precutover-infra node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-08-step3-2026-02-10/rpl08-20260210-023524Z-91fdb0be/artifact_budget_step2_summary_v1.json","utf8")); if(!(j.status==="pass" && j.x07_runtime_ready===true)) process.exit(1);'
R9V-02	R9L-01	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-01 CCL_RPL09_TEST_CASE=precutover-infra node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-03-step3-rerun-2026-02-09/ipc_conformance_summary_v1.json","utf8")); if(!(j.status==="pass" && j.x03_clear_ready===true)) process.exit(1);'
R9V-03	R9L-01	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-01 CCL_RPL09_TEST_CASE=precutover-infra node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-04-step3-rerun-2026-02-10/runtime_ui_bridge_step2_summary_v1.json","utf8")); if(!(j.status==="pass" && j.x04_step2_ready===true)) process.exit(1);'
R9V-04	R9L-02	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-02 CCL_RPL09_TEST_CASE=precutover-closure node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-05-step3-2026-02-10/rpl05-20260210-011240Z-91fdb0be/storage_v2_local_step2_summary_v1.json","utf8")); if(!(j.status==="pass" && j.x05_step2_ready===true)) process.exit(1);'
R9V-05	R9L-02	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-02 CCL_RPL09_TEST_CASE=precutover-closure node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-07-step3-2026-02-10/rpl07-20260210-014654Z-91fdb0be/module_env_step2_summary_v1.json","utf8")); if(!(j.status==="pass" && j.x06_step2_ready===true)) process.exit(1);'
R9V-06	R9L-02	0	0	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-02 CCL_RPL09_TEST_CASE=precutover-closure node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/x07-closure-review-2026-02-10/x07-closure-20260210-024503Z-91fdb0be/x07_unified_closure_review_v1.json","utf8")); if(!(j.x07_status_transition.after==="done" && j.decision.x08_unblocked===true)) process.exit(1);'
R9V-07	R9L-04	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-04 CCL_RPL09_TEST_CASE=rollback-a CCL_RPL09_TEST_INJECT_FAILURE=R9R-01 node -e 'const id=process.env.CCL_RPL09_TEST_INJECT_FAILURE||""; if(id!=="R9R-01") process.exit(1); console.error(id); process.exit(2);'
R9V-08	R9L-04	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-04 CCL_RPL09_TEST_CASE=rollback-a CCL_RPL09_TEST_INJECT_FAILURE=R9R-02 node -e 'const id=process.env.CCL_RPL09_TEST_INJECT_FAILURE||""; if(id!=="R9R-02") process.exit(1); console.error(id); process.exit(2);'
R9V-09	R9L-05	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-05 CCL_RPL09_TEST_CASE=rollback-b CCL_RPL09_TEST_INJECT_FAILURE=R9R-03 node -e 'const id=process.env.CCL_RPL09_TEST_INJECT_FAILURE||""; if(id!=="R9R-03") process.exit(1); console.error(id); process.exit(2);'
R9V-10	R9L-05	2	2	env TZ=UTC LC_ALL=C LANG=C CCL_RUNTIME_CUTOVER_ALLOW_FALLBACK=0 CCL_RPL09_TEST_LANE=R9L-05 CCL_RPL09_TEST_CASE=rollback-b CCL_RPL09_TEST_INJECT_FAILURE=R9R-04 node -e 'const id=process.env.CCL_RPL09_TEST_INJECT_FAILURE||""; if(id!=="R9R-04") process.exit(1); console.error(id); process.exit(2);'
