id	lane_id	exit_code	expected_failure	observed_failure	runtime_cutover_gate_event_v1	runtime_cutover_rollback_event_v1	runtime_cutover_x08_review_packet_v1	summary_status	validation_assertion_pass	notes
R9V-01	R9L-01	0	none	none	yes	no	no	pass	true	assertions met
R9V-02	R9L-01	0	none	none	yes	no	no	pass	true	assertions met
R9V-03	R9L-01	0	none	none	yes	no	no	pass	true	assertions met
R9V-04	R9L-02	0	none	none	yes	no	no	pass	true	assertions met
R9V-05	R9L-02	0	none	none	yes	no	no	pass	true	assertions met
R9V-06	R9L-02	0	none	none	yes	no	no	pass	true	assertions met
R9V-07	R9L-04	2	R9R-01	R9R-01	no	yes	no	fail	true	assertions met
R9V-08	R9L-04	2	R9R-02	R9R-02	no	yes	no	fail	true	assertions met
R9V-09	R9L-05	2	R9R-03	R9R-03	no	yes	no	fail	true	assertions met
R9V-10	R9L-05	2	R9R-04	R9R-04	no	yes	no	fail	true	assertions met
R9V-11	R9L-06	2	R9R-05	R9R-05	no	yes	no	fail	true	assertions met
R9V-12	R9L-06	2	R9R-06	R9R-06	no	yes	no	fail	true	assertions met
R9V-13	R9L-07	0	none	none	no	no	yes	pass	true	assertions met
R9V-14	R9L-03/R9L-07	0	none	none	yes	no	yes	pass	true	assertions met
